DR_NO,DATE OCC,TIME OCC,AREA,Rpt Dist No,Crm Cd,Crm Cd Desc,Vict Age,Vict Sex,Status Desc,LOCATION,LAT,LON,City,Crime Subtype,Perp Age,Perp Sex,Arrest
221814095,07/10/2022 12:00:00 AM,2300,18,1863,761,BRANDISH WEAPON,0,M,Invest Cont,300 E  120TH                        ST,33.9237,-118.2696,Los Angeles,BRANDISH WEAPON,,,False
211206226,02/03/2021 12:00:00 AM,1400,12,1218,320,"BURGLARY, ATTEMPTED",71,M,Adult Other,500 W  55TH                         ST,33.9923,-118.2871,Los Angeles,"BURGLARY, ATTEMPTED",,,False
221107610,04/03/2022 12:00:00 AM,100,11,1147,815,SEXUAL PENETRATION W/FOREIGN OBJECT,14,F,Invest Cont,3300    GRANADA                      ST,34.1019,-118.2264,Los Angeles,SEXUAL PENETRATION W/FOREIGN OBJECT,,,False
230210210,05/06/2023 12:00:00 AM,2000,2,236,510,VEHICLE - STOLEN,0,,Invest Cont,VALLEY,34.0648,-118.2715,Los Angeles,VEHICLE - STOLEN,,,False
220618259,10/29/2022 12:00:00 AM,2200,6,636,624,BATTERY - SIMPLE ASSAULT,28,F,Invest Cont,6500    YUCCA                        ST,34.1039,-118.331,Los Angeles,BATTERY - SIMPLE ASSAULT,,,False
231812349,06/22/2023 12:00:00 AM,30,18,1827,648,ARSON,39,M,Invest Cont,9300    HOLMES                       AV,33.9519,-118.2408,Los Angeles,ARSON,,,False
230218041,09/25/2023 12:00:00 AM,1537,2,205,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0,X,Invest Cont,600 N  DILLON                       ST,34.0786,-118.2788,Los Angeles,SHOPLIFTING - PETTY THEFT ($950 & UNDER),,,False
220811420,06/30/2022 12:00:00 AM,1150,8,889,210,ROBBERY,22,F,Invest Cont,1800 S  LA CIENEGA                   BL,34.0425,-118.3818,Los Angeles,ROBBERY,,,False
221613509,10/17/2022 12:00:00 AM,1930,16,1658,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),61,M,Invest Cont,10000    TUJUNGA CANYON               BL,34.2498,-118.2805,Los Angeles,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),,,False
210900642,04/30/2021 12:00:00 AM,1900,9,946,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),29,F,Invest Cont,13700    OXNARD                       ST,34.1794,-118.4319,Los Angeles,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,,False
221600569,03/07/2022 12:00:00 AM,1120,16,1612,520,VEHICLE - ATTEMPT STOLEN,57,M,Invest Cont,HERRICK,34.2779,-118.4219,Los Angeles,VEHICLE - ATTEMPT STOLEN,,,False
211106118,03/02/2021 12:00:00 AM,200,11,1183,330,BURGLARY FROM VEHICLE,28,M,Invest Cont,ECHO PARK                    AV,34.0853,-118.2524,Los Angeles,BURGLARY FROM VEHICLE,,,False
201414280,07/23/2020 12:00:00 AM,1800,14,1463,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0,X,Invest Cont,CORAL TREE,33.9781,-118.4222,Los Angeles,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),,,False
201506060,02/10/2020 12:00:00 AM,208,15,1562,310,BURGLARY,0,M,Invest Cont,12600    MOORPARK                     ST,34.1533,-118.4058,Los Angeles,BURGLARY,,,False
221610320,07/03/2022 12:00:00 AM,1425,16,1685,354,THEFT OF IDENTITY,60,M,Invest Cont,8000    IRVINE                       AV,34.2157,-118.385,Los Angeles,THEFT OF IDENTITY,,,False
221012073,07/26/2022 12:00:00 AM,1755,10,1015,910,KIDNAPPING,34,F,Invest Cont,RESEDA                       BL,34.203,-118.536,Los Angeles,KIDNAPPING,,,False
210706397,03/07/2021 12:00:00 AM,2210,7,721,626,INTIMATE PARTNER - SIMPLE ASSAULT,22,F,Adult Other,8500 W  3RD                          ST,34.0734,-118.3765,Los Angeles,INTIMATE PARTNER - SIMPLE ASSAULT,,,False
230715428,10/03/2023 12:00:00 AM,1600,7,737,310,BURGLARY,59,F,Invest Cont,700 S  ORANGE                       DR,34.0622,-118.3418,Los Angeles,BURGLARY,,,False
