ARREST_KEY,ARREST_DATE,PD_DESC,KY_CD,OFNS_DESC,ARREST_BORO,ARREST_PRECINCT,AGE_GROUP,PERP_SEX,Latitude,Longitude,Vict Age,Vict Sex,Arrest,City
268841404,2023-05-25,CRIMINAL POSSESSION WEAPON,118.0,DANGEROUS WEAPONS,Q,104,25-44,M,40.704812,-73.908618,,,True,New York
265687984,2023-03-26,SEXUAL ABUSE,116.0,SEX CRIMES,Q,109,25-44,M,40.7623158004241,-73.8274480018593,,,True,New York
263654885,2023-02-15,"THEFT OF SERVICES, UNCLASSIFIE",343.0,OTHER OFFENSES RELATED TO THEF,K,72,45-64,M,40.65430947,-74.00441848,,,True,New York
263956381,2023-02-21,"PUBLIC ADMINISTRATION,UNCLASSI",126.0,MISCELLANEOUS PENAL LAW,S,121,25-44,M,40.623238,-74.149217,,,True,New York
265741837,2023-03-27,"CONTEMPT,CRIMINAL",359.0,OFFENSES AGAINST PUBLIC ADMINI,B,47,18-24,M,40.887325,-73.847247,,,True,New York
268210364,2023-05-13,OBSTR BREATH/CIRCUL,344.0,ASSAULT 3 & RELATED OFFENSES,B,42,25-44,M,40.827671,-73.891902,,,True,New York
262115542,2023-01-18,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348.0,VEHICLE AND TRAFFIC LAWS,Q,113,25-44,F,40.6668416,-73.78940839,,,True,New York
261919469,2023-01-14,"IMPRISONMENT 1,UNLAWFUL",124.0,KIDNAPPING & RELATED OFFENSES,Q,104,18-24,F,40.698876,-73.906951,,,True,New York
262156875,2023-01-18,"LARCENY,GRAND BY EXTORTION",109.0,GRAND LARCENY,K,83,18-24,M,40.680878,-73.902998,,,True,New York
262768152,2023-01-31,"LARCENY,PETIT FROM OPEN AREAS,",341.0,PETIT LARCENY,K,84,25-44,M,40.691005,-73.983456,,,True,New York
263119422,2023-02-06,"CONTROLLED SUBSTANCE, POSSESSI",235.0,DANGEROUS DRUGS,B,40,45-64,M,40.81286,-73.918107,,,True,New York
261634322,2023-01-09,"IMPERSONATION 2, PUBLIC SERVAN",340.0,FRAUDS,K,75,25-44,M,40.671626,-73.874428,,,True,New York
