INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,LOC_OF_OCCUR_DESC,PRECINCT,JURISDICTION_CODE,LOC_CLASSFCTN_DESC,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lon_Lat
244251567,2022-04-27,00:23:00,BROOKLYN,OUTSIDE,75,0.0,STREET,(null),False,25-44,M,BLACK,18-24,M,BLACK,1014781.0,185829.0,40.676683,-73.889929,POINT (-73.889929 40.676683)
246359109,2022-06-08,19:50:00,BRONX,OUTSIDE,40,2.0,HOUSING,MULTI DWELL - PUBLIC HOUS,False,18-24,M,BLACK HISPANIC,65+,M,BLACK HISPANIC,1005170.0,235308.0,40.812518,-73.924424,POINT (-73.924424 40.812518)
241030310,2022-02-21,15:57:00,QUEENS,INSIDE,113,0.0,DWELLING,PVT HOUSE,True,18-24,M,BLACK,18-24,M,WHITE HISPANIC,1049781.0,192069.0,40.69362,-73.763686,POINT (-73.763686 40.69362)
254062679,2022-11-12,22:18:00,MANHATTAN,OUTSIDE,10,0.0,STREET,(null),True,45-64,M,BLACK,25-44,M,BLACK,982960.0,212367.0,40.749576,-74.004654,POINT (-74.004654 40.749576)
254000626,2022-11-11,22:30:00,BRONX,OUTSIDE,46,0.0,STREET,(null),False,18-24,M,BLACK,18-24,M,WHITE HISPANIC,1010376.0,249675.0,40.85193646,-73.90556259,POINT (-73.90556259 40.85193646)
245281702,2022-05-18,15:37:00,BRONX,OUTSIDE,40,0.0,STREET,(null),True,18-24,M,BLACK HISPANIC,18-24,M,WHITE HISPANIC,1003364.0,237018.0,40.81721463,-73.93094485,POINT (-73.93094485 40.81721463)
244592751,2022-05-04,14:26:00,QUEENS,OUTSIDE,106,0.0,DWELLING,PVT HOUSE,True,25-44,M,WHITE,45-64,F,WHITE HISPANIC,1027830.0,186202.0,40.677651,-73.842883,POINT (-73.842883 40.677651)
256547034,2022-12-18,11:10:00,BRONX,INSIDE,52,0.0,COMMERCIAL,GROCERY/BODEGA,True,25-44,M,BLACK HISPANIC,25-44,M,WHITE HISPANIC,1014139.0,254812.0,40.866026,-73.891935,POINT (-73.891935 40.866026)
253592470,2022-11-03,22:38:00,BROOKLYN,OUTSIDE,61,0.0,DWELLING,MULTI DWELL - APT BUILD,True,(null),(null),(null),25-44,M,WHITE,993279.0,160911.0,40.608337,-73.967479,POINT (-73.967479 40.608337)
250864172,2022-09-09,16:46:00,BRONX,OUTSIDE,49,2.0,HOUSING,MULTI DWELL - PUBLIC HOUS,False,(null),(null),(null),18-24,M,WHITE HISPANIC,1021690.0,252174.0,40.858757,-73.864651,POINT (-73.864651 40.858757)
250963367,2022-09-12,13:23:00,QUEENS,OUTSIDE,110,0.0,STREET,(null),False,(null),(null),(null),18-24,M,WHITE HISPANIC,1028041.0,217041.0,40.762296,-73.841919,POINT (-73.841919 40.762296)
