ARREST_KEY,ARREST_DATE,PD_DESC,KY_CD,OFNS_DESC,ARREST_BORO,ARREST_PRECINCT,AGE_GROUP,PERP_SEX,Latitude,Longitude,Vict Age,Vict Sex,Arrest,City
266682979,4/14/2023,RECKLESS ENDANGERMENT 2,355,OFFENSES AGAINST THE PERSON,S,120,45-64,U,40.621203,-74.083249,,,TRUE,New York
267180007,4/24/2023,CRIMINAL MIS 2 & 3,121,CRIMINAL MISCHIEF & RELATED OF,K,94,45-64,M,40.728276,-73.952843,,,TRUE,New York
269646439,6/11/2023,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,Q,106,25-44,M,40.666182,-73.806668,,,TRUE,New York
264629455,3/6/2023,"CONTROLLED SUBSTANCE, POSSESSI",117,DANGEROUS DRUGS,K,94,25-44,M,40.7213624,-73.94554676,,,TRUE,New York
265214727,3/15/2023,OBSTR BREATH/CIRCUL,344,ASSAULT 3 & RELATED OFFENSES,K,83,<18,F,40.702216,-73.932418,,,TRUE,New York
262618433,1/27/2023,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,VEHICLE AND TRAFFIC LAWS,K,73,25-44,M,40.6625545,-73.9089197,,,TRUE,New York
266356721,4/7/2023,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,B,49,45-64,M,40.84887703,-73.86743729,,,TRUE,New York
267872476,5/7/2023,"PUBLIC SAFETY,UNCLASSIFIED MIS",363,OFFENSES AGAINST PUBLIC SAFETY,B,41,45-64,M,40.8143702,-73.89669987,,,TRUE,New York
270310688,6/23/2023,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,K,76,25-44,F,40.682811,-73.987643,,,TRUE,New York
263249305,2/8/2023,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,VEHICLE AND TRAFFIC LAWS,B,44,25-44,M,40.830568,-73.917778,,,TRUE,New York
264344355,2/28/2023,RECKLESS ENDANGERMENT 2,355,OFFENSES AGAINST THE PERSON,B,44,25-44,M,40.82654448,-73.91531482,,,TRUE,New York
269985139,6/17/2023,OBSTR BREATH/CIRCUL,344,ASSAULT 3 & RELATED OFFENSES,B,41,45-64,M,40.816057,-73.895785,,,TRUE,New York
264056900,2/22/2023,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,B,44,25-44,M,40.82724498,-73.9240474,,,TRUE,New York
262917093,2/2/2023,"CONTROLLED SUBSTANCE, INTENT T",117,DANGEROUS DRUGS,M,25,25-44,M,40.80505732,-73.93903422,,,TRUE,New York
269683584,6/12/2023,CRIMINAL POSSESSION WEAPON,118,DANGEROUS WEAPONS,B,41,25-44,M,40.812944,-73.888952,,,TRUE,New York
261528229,1/7/2023,RECKLESS ENDANGERMENT 1,126,MISCELLANEOUS PENAL LAW,M,34,25-44,M,40.84812006,-73.93088385,,,TRUE,New York
262040544,1/17/2023,AGGRAVATED HARASSMENT 2,361,OFF. AGNST PUB ORD SENSBLTY &,K,84,25-44,F,40.695404,-73.983239,,,TRUE,New York
262047557,1/17/2023,"CONTROLLED SUBSTANCE, POSSESSI",235,DANGEROUS DRUGS,K,72,45-64,M,40.64198693,-74.01723466,,,TRUE,New York
263082952,2/6/2023,"CONTROLLED SUBSTANCE, POSSESSI",235,DANGEROUS DRUGS,K,75,45-64,M,40.666786,-73.89651,,,TRUE,New York
261186620,1/1/2023,"FORGERY,ETC.-MISD.",358,OFFENSES INVOLVING FRAUD,Q,105,18-24,M,40.67759041,-73.74478108,,,TRUE,New York
267662705,5/3/2023,"FORGERY,ETC.-MISD.",358,OFFENSES INVOLVING FRAUD,M,20,45-64,F,40.77622107,-73.97595353,,,TRUE,New York
262497966,1/25/2023,"LARCENY,PETIT FROM OPEN AREAS,",341,PETIT LARCENY,B,52,45-64,M,40.862158,-73.890743,,,TRUE,New York
263975707,2/21/2023,"CRIMINAL MISCHIEF 4TH, GRAFFIT",351,CRIMINAL MISCHIEF & RELATED OF,K,73,45-64,M,40.67951644,-73.90457012,,,TRUE,New York
262415431,1/24/2023,RECKLESS ENDANGERMENT 2,355,OFFENSES AGAINST THE PERSON,K,69,45-64,M,40.648698,-73.905128,,,TRUE,New York
266537267,4/11/2023,RESISTING ARREST,359,OFFENSES AGAINST PUBLIC ADMINI,K,73,25-44,M,40.6632451,-73.90421132,,,TRUE,New York
265952356,3/31/2023,ASSAULT POLICE/PEACE OFFICER,106,FELONY ASSAULT,K,75,25-44,M,40.66755,-73.858506,,,TRUE,New York
268212745,5/13/2023,"LARCENY,PETIT FROM OPEN AREAS,",341,PETIT LARCENY,B,43,25-44,M,40.829744,-73.871663,,,TRUE,New York
270165057,6/21/2023,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,B,41,18-24,M,40.804008,-73.878333,,,TRUE,New York
267501112,4/30/2023,"LARCENY,PETIT FROM OPEN AREAS,",341,PETIT LARCENY,K,66,25-44,M,40.626492,-73.976342,,,TRUE,New York
267026308,4/21/2023,"INTOXICATED DRIVING,ALCOHOL",347,INTOXICATED & IMPAIRED DRIVING,K,75,25-44,M,40.64328846,-73.87617677,,,TRUE,New York
270506312,6/28/2023,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,B,43,18-24,F,40.82229,-73.867138,,,TRUE,New York
261444135,1/5/2023,"LARCENY,PETIT FROM OPEN AREAS,",341,PETIT LARCENY,K,76,45-64,M,40.681323,-73.994128,,,TRUE,New York
268025783,5/10/2023,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,B,44,45-64,M,40.84338,-73.924789,,,TRUE,New York
264699263,3/8/2023,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,B,44,25-44,M,40.82781161,-73.92592932,,,TRUE,New York
268999341,5/29/2023,"ROBBERY,OPEN AREA UNCLASSIFIED",105,ROBBERY,B,43,45-64,M,40.823378,-73.870168,,,TRUE,New York
265891189,3/30/2023,"ROBBERY,OPEN AREA UNCLASSIFIED",105,ROBBERY,Q,108,18-24,M,40.7431246,-73.95606807,,,TRUE,New York
266206211,4/5/2023,"PUBLIC ADMINISTRATION,UNCLASSI",126,MISCELLANEOUS PENAL LAW,K,81,45-64,M,40.682309,-73.922607,,,TRUE,New York
262023534,1/17/2023,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,VEHICLE AND TRAFFIC LAWS,K,67,45-64,M,40.63860599,-73.9482662,,,TRUE,New York
262302836,1/22/2023,OBSTR BREATH/CIRCUL,344,ASSAULT 3 & RELATED OFFENSES,Q,110,25-44,M,40.734266,-73.883566,,,TRUE,New York
266553029,4/12/2023,"MENACING,UNCLASSIFIED",344,ASSAULT 3 & RELATED OFFENSES,B,46,25-44,M,40.85930853,-73.89883889,,,TRUE,New York
261907052,1/14/2023,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,Q,110,18-24,F,40.744981,-73.870144,,,TRUE,New York
266281156,4/6/2023,"LARCENY,PETIT FROM OPEN AREAS,",341,PETIT LARCENY,B,44,25-44,F,40.822622,-73.930942,,,TRUE,New York
264647526,3/6/2023,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109,GRAND LARCENY,K,78,18-24,M,40.682738,-73.976498,,,TRUE,New York
265009785,3/12/2023,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,Q,113,25-44,M,40.668319,-73.781371,,,TRUE,New York
264218293,2/25/2023,"LARCENY,PETIT FROM OPEN AREAS,",341,PETIT LARCENY,M,1,45-64,M,40.71003,-74.011458,,,TRUE,New York
264302761,2/27/2023,"LARCENY,PETIT FROM OPEN AREAS,",341,PETIT LARCENY,Q,112,65+,F,40.732847,-73.863882,,,TRUE,New York
263805276,2/17/2023,"LARCENY,PETIT FROM OPEN AREAS,",341,PETIT LARCENY,M,18,18-24,M,40.763313,-73.973717,,,TRUE,New York
268902092,5/26/2023,RESISTING ARREST,359,OFFENSES AGAINST PUBLIC ADMINI,M,24,25-44,F,40.79605,-73.967052,,,TRUE,New York
264134603,2/23/2023,RECKLESS ENDANGERMENT 1,126,MISCELLANEOUS PENAL LAW,K,79,25-44,M,40.698381,-73.94255,,,TRUE,New York
263113938,2/6/2023,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,B,42,18-24,F,40.822355,-73.911463,,,TRUE,New York
269345754,6/5/2023,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,M,1,25-44,F,40.710513,-74.012534,,,TRUE,New York
264863507,3/10/2023,STRANGULATION 1ST,106,FELONY ASSAULT,Q,114,25-44,M,40.769552,-73.915361,,,TRUE,New York
266753326,4/16/2023,OBSTR BREATH/CIRCUL,344,ASSAULT 3 & RELATED OFFENSES,M,10,45-64,M,40.742827,-73.998428,,,TRUE,New York
262739278,1/31/2023,AGGRAVATED HARASSMENT 2,361,OFF. AGNST PUB ORD SENSBLTY &,B,42,25-44,M,40.829865,-73.905019,,,TRUE,New York
264502808,3/3/2023,"PUBLIC ADMINISTRATION,UNCLASSI",126,MISCELLANEOUS PENAL LAW,B,44,25-44,M,40.830318,-73.912759,,,TRUE,New York
263575304,2/14/2023,"CONTROLLED SUBSTANCE, POSSESSI",235,DANGEROUS DRUGS,M,14,25-44,M,40.75853318,-73.98884266,,,TRUE,New York
268819182,5/25/2023,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,Q,106,25-44,F,40.654042,-73.829249,,,TRUE,New York
263122291,2/6/2023,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109,GRAND LARCENY,M,19,25-44,M,40.779159,-73.953738,,,TRUE,New York
270445384,6/27/2023,"CRIMINAL MISCHIEF 4TH, GRAFFIT",351,CRIMINAL MISCHIEF & RELATED OF,M,28,25-44,M,40.808109,-73.945238,,,TRUE,New York
263753469,2/16/2023,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,VEHICLE AND TRAFFIC LAWS,K,75,25-44,M,40.65556417,-73.87973281,,,TRUE,New York
265256839,3/16/2023,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109,GRAND LARCENY,B,46,25-44,M,40.845968,-73.912441,,,TRUE,New York
270455577,6/27/2023,"BURGLARY,UNCLASSIFIED,UNKNOWN",107,BURGLARY,K,71,25-44,M,40.664154,-73.946814,,,TRUE,New York
266261558,4/6/2023,"ROBBERY,OPEN AREA UNCLASSIFIED",105,ROBBERY,B,46,25-44,M,40.853578,-73.900591,,,TRUE,New York
266412087,4/9/2023,"MENACING,UNCLASSIFIED",344,ASSAULT 3 & RELATED OFFENSES,B,43,25-44,M,40.833944,-73.876132,,,TRUE,New York
266652657,4/13/2023,"LARCENY,PETIT FROM OPEN AREAS,",341,PETIT LARCENY,K,84,25-44,M,40.690859,-73.985848,,,TRUE,New York
266294696,4/6/2023,"BURGLARY,UNCLASSIFIED,UNKNOWN",107,BURGLARY,K,88,25-44,M,40.689614,-73.960148,,,TRUE,New York
265984355,3/31/2023,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,K,77,25-44,M,40.674593,-73.930572,,,TRUE,New York
268902079,5/26/2023,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,K,75,25-44,M,40.67301081,-73.87036802,,,TRUE,New York
268958215,5/28/2023,"CONTROLLED SUBSTANCE,INTENT TO",117,DANGEROUS DRUGS,K,75,45-64,M,40.66916,-73.896649,,,TRUE,New York
267469724,4/29/2023,"LARCENY,PETIT FROM OPEN AREAS,",341,PETIT LARCENY,B,52,45-64,F,40.862368,-73.896509,,,TRUE,New York
262254984,1/20/2023,"ROBBERY,OPEN AREA UNCLASSIFIED",105,ROBBERY,Q,101,<18,M,40.59555306,-73.77739404,,,TRUE,New York
268212752,5/13/2023,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,VEHICLE AND TRAFFIC LAWS,K,88,45-64,M,40.68303923,-73.96477753,,,TRUE,New York
267866711,5/7/2023,"PUBLIC ADMINISTRATION,UNCLASSI",126,MISCELLANEOUS PENAL LAW,M,24,65+,M,40.796946,-73.968257,,,TRUE,New York
266216758,4/5/2023,"CONTROLLED SUBSTANCE,INTENT TO",117,DANGEROUS DRUGS,S,120,45-64,M,40.625556,-74.075507,,,TRUE,New York
268598365,5/21/2023,"STOLEN PROPERTY 2,1,POSSESSION",111,POSSESSION OF STOLEN PROPERTY,M,34,25-44,M,40.863077,-73.925692,,,TRUE,New York
268855283,5/25/2023,"FRAUD,UNCLASSIFIED-FELONY",112,THEFT-FRAUD,Q,105,25-44,M,40.67962677,-73.73854682,,,TRUE,New York
267866696,5/7/2023,RECKLESS ENDANGERMENT 1,126,MISCELLANEOUS PENAL LAW,K,71,18-24,M,40.66132947,-73.93140539,,,TRUE,New York
262794106,2/1/2023,"BURGLARS TOOLS,UNCLASSIFIED",231,BURGLAR'S TOOLS,M,18,25-44,M,40.759759,-73.989811,,,TRUE,New York
267346995,4/27/2023,AGGRAVATED HARASSMENT 2,361,OFF. AGNST PUB ORD SENSBLTY &,K,61,25-44,M,40.605188,-73.952509,,,TRUE,New York
267798365,5/5/2023,"SEXUAL MISCONDUCT,INTERCOURSE",233,SEX CRIMES,Q,103,<18,M,40.70723982,-73.79272673,,,TRUE,New York
265142490,3/15/2023,"ROBBERY,OPEN AREA UNCLASSIFIED",105,ROBBERY,M,30,25-44,M,40.82523249,-73.94760441,,,TRUE,New York
265753654,3/28/2023,"BURGLARY,UNCLASSIFIED,UNKNOWN",107,BURGLARY,K,84,25-44,M,40.695404,-73.983239,,,TRUE,New York
