ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12527533,JE428897,2021-10-31 07:30:00,017XX N WESTERN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE - GARAGE,False,False,1434,14.0,1.0,24.0,14,1160092.0,1911563.0,2021,11/07/2021 03:40:16 PM,41.913037512,-87.687290399,"(41.913037512, -87.687290399)"
11979778,JD149874,2020-02-12 10:00:00,017XX W TAYLOR ST,0810,THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,1231,12.0,27.0,28.0,06,1164761.0,1895624.0,2020,03/18/2020 03:40:21 PM,41.869201889,-87.670589881,"(41.869201889, -87.670589881)"
12892814,JF474684,2022-11-13 22:00:00,036XX S WOLCOTT AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,912,9.0,12.0,59.0,07,1164280.0,1880594.0,2022,01/03/2023 03:40:27 PM,41.827968272,-87.672780186,"(41.827968272, -87.672780186)"
12364577,JE228984,2021-05-13 15:35:00,0000X W TERMINAL ST,1478,CONCEALED CARRY LICENSE VIOLATION,PROHIBITED PLACES,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,True,False,1653,16.0,41.0,76.0,15,1101811.0,1934419.0,2021,05/20/2021 03:40:43 PM,41.976762981,-87.900983721,"(41.976762981, -87.900983721)"
12037237,JD216999,2020-04-25 15:12:00,007XX E 82ND ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,False,631,6.0,6.0,44.0,26,1182523.0,1850787.0,2020,05/02/2020 03:41:59 PM,41.745770795,-87.606773358,"(41.745770795, -87.606773358)"
12091961,JD280578,2020-06-29 20:48:00,079XX S ST LAWRENCE AVE,0630,BURGLARY,ATTEMPT FORCIBLE ENTRY,APARTMENT,False,False,624,6.0,6.0,44.0,05,1181610.0,1852544.0,2020,07/06/2020 03:42:25 PM,41.750613302,-87.61006462,"(41.750613302, -87.61006462)"
12521127,JE420584,2021-10-24 06:00:00,045XX S DREXEL BLVD,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,221,2.0,4.0,39.0,05,1182955.0,1875130.0,2021,10/31/2021 03:40:23 PM,41.812560204,-87.604434374,"(41.812560204, -87.604434374)"
12352662,JE214176,2021-04-29 09:00:00,028XX W HARRISON ST,0496,BATTERY,AGGRAVATED DOMESTIC BATTERY - KNIFE / CUTTING INSTRUMENT,STREET,False,True,1135,11.0,27.0,27.0,04B,1157633.0,1897242.0,2021,05/06/2021 03:40:12 PM,41.873789876,-87.696714581,"(41.873789876, -87.696714581)"
12017453,JD195027,2020-03-25 19:15:00,008XX S KOLMAR AVE,0560,ASSAULT,SIMPLE,STREET,False,True,1131,11.0,24.0,26.0,08A,1146145.0,1895813.0,2020,04/01/2020 04:39:36 PM,41.870094592,-87.73892969,"(41.870094592, -87.73892969)"
12515902,JE414437,2021-10-17 03:00:00,041XX W CERMAK RD,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE - PORCH / HALLWAY,False,False,1013,10.0,22.0,29.0,14,1149019.0,1889053.0,2021,10/24/2021 03:40:26 PM,41.851489233,-87.728553075,"(41.851489233, -87.728553075)"
